vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,online_booking,mobile_site_booking,from_lat,from_long,to_lat,to_long,Car_Cancellation,trip_distance_km
12.0,2.0,2.0,1021.0,1323.0,15.0,49.0,0.0,0.0,13.02853,77.54625,12.869805,77.653211,0,21.115264590494956
12.0,2.0,2.0,455.0,1330.0,15.0,49.0,0.0,0.0,12.999874,77.67812,12.953434,77.70651,0,6.010724939550203
12.0,2.0,2.0,814.0,393.0,15.0,49.0,1.0,0.0,12.908993,77.6889,13.19956,77.70688,0,32.368223883730415
12.0,2.0,2.0,297.0,212.0,15.0,49.0,0.0,0.0,12.99789,77.61488,12.99474,77.60797,0,0.8265587196767816
28.0,2.0,2.0,1237.0,330.0,15.0,49.0,0.0,0.0,12.92645,77.61206,12.858833,77.589127,0,7.918919994843382
12.0,2.0,2.0,61.0,393.0,15.0,49.0,0.0,0.0,12.96298,77.71229,13.19956,77.70688,0,26.313020729007928
12.0,2.0,2.0,409.0,1194.0,15.0,49.0,0.0,0.0,13.07746,77.60668,13.00446,77.56923,0,9.074549305066641
12.0,2.0,2.0,1371.0,839.0,15.0,49.0,1.0,0.0,13.000418,77.674835,12.85773,77.78642,0,19.949417756663056
12.0,1.0,3.0,1323.0,516.0,15.0,49.0,1.0,0.0,12.869805,77.653211,12.98275,77.64503,0,
12.0,2.0,2.0,1017.0,496.0,15.0,49.0,0.0,0.0,13.11084,77.60074,13.05845,77.64075,0,7.260498235977804
12.0,2.0,2.0,1373.0,1390.0,15.0,49.0,0.0,0.0,13.037255,77.58166,12.969368,77.641302,0,9.936695590658093
12.0,2.0,2.0,1323.0,585.0,15.0,49.0,1.0,0.0,12.869805,77.653211,12.97677,77.5727,0,14.751386809958921
12.0,2.0,3.0,142.0,516.0,15.0,49.0,0.0,0.0,12.91281,77.60923,12.98275,77.64503,0,
24.0,2.0,2.0,58.0,393.0,15.0,49.0,0.0,0.0,12.88963,77.60119,13.19956,77.70688,0,36.314615026598986
85.0,2.0,2.0,393.0,392.0,15.0,49.0,0.0,0.0,13.19956,77.70688,12.986284,77.735245,0,23.913356802415155
12.0,2.0,2.0,145.0,871.0,15.0,49.0,0.0,0.0,12.99067,77.65587,12.98712,77.56624,0,9.719416639648477
12.0,2.0,2.0,1384.0,1053.0,15.0,49.0,1.0,0.0,13.02853,77.54625,12.912799,77.589784,0,13.706052152688114
